id	height	width
NMAAHC-HCA_20.32.B	1812	1417
NMAAHC-HCA_4.36.B-000001	1782	1398
NMAAHC-HCA_10.34.D	1794	1447
NMAAHC-HCA_15.38.A	1416	1752
NMAAHC-HCA_7.2.D	1404	1776
NMAAHC-HCA_8.8.B	1746	1417
NMAAHC-HCA_5.15.C-000001	1734	1422
NMAAHC-HCA_19.29.C	1698	1398
NMAAHC-HCA_6.29.B	1770	1422
NMAAHC-HCA_19.47.C	1698	1398
NMAAHC-HCA_12.45.C.1	1314	777
NMAAHC-HCA_13.39.A	1734	1398
NMAAHC-HCA_20.1.A	1800	1434
NMAAHC-HCA_21.59.D	1672	1331
NMAAHC-HCA_2.4.D-000001	1686	1345
NMAAHC-HCA_9.17.B	1734	1362
NMAAHC-HCA_10.50.B	1710	1434
NMAAHC-HCA_4.36.C-000001	1740	1374
NMAAHC-HCA_7.36.C	1722	1398
NMAAHC-HCA_13.10.B	1447	1806
NMAAHC-HCA_20.38.C	1410	1770
NMAAHC-HCA_11.17.B	1728	1375
NMAAHC-HCA_21.43.D	1672	1331
NMAAHC-HCA_4.32.B-000001	1782	1398
NMAAHC-HCA_4.34.D-000001	1698	1387
NMAAHC-HCA_6.46.B	1770	1422
NMAAHC-HCA_11.34.A	1434	1698
NMAAHC-HCA_9.13.B	1734	1362
NMAAHC-HCA_11.8.D	1728	1381
NMAAHC-HCA_10.27.A.1	1285	804
NMAAHC-HCA_11.13.D	1728	1381
NMAAHC-HCA_15.34.A	1752	1416
NMAAHC-HCA_18.15.A	1698	1386
NMAAHC-HCA_7.40.A	1380	1776
NMAAHC-HCA_4.9.A-000001	1446	1794
NMAAHC-HCA_7.32.D	1404	1776
NMAAHC-HCA_5.41.B-000001	1848	1477
NMAAHC-HCA_8.06.D	1387	1746
NMAAHC-HCA_6.6.C	1752	1392
NMAAHC-HCA_12.23.B	1434	1734
NMAAHC-HCA_2.30.B-000001	1661	1323
NMAAHC-HCA_5.1.C-000001	1734	1422
NMAAHC-HCA_19.24.D	1728	1357
NMAAHC-HCA_20.20.B	1812	1417
NMAAHC-HCA_5.33.A.2-000001	1264	814
NMAAHC-HCA_7.40.B	1428	1752
NMAAHC-HCA_7.47.A	1776	1380
NMAAHC-HCA_12.1.B	1734	1434
NMAAHC-HCA_10.17.C.2	1260	810
NMAAHC-HCA_12.4.C.1	1272	798
NMAAHC-HCA_21.04.D	1672	1331
NMAAHC-HCA_1.3.A	1656	1362
NMAAHC-HCA_10.5.D	1794	1447
NMAAHC-HCA_21.81.A	1348	1660
NMAAHC-HCA_10.7.A	1848	1392
NMAAHC-HCA_20.9.B	1812	1417
NMAAHC-HCA_21.44.B	1660	1362
NMAAHC-HCA_8.28.B.2	1273	820
NMAAHC-HCA_9.21.D	1650	1351
NMAAHC-HCA_9.4.A	1674	1338
NMAAHC-HCA_3.30.D.2-000001	1286	828
NMAAHC-HCA_5.2.B-000001	1848	1477
NMAAHC-HCA_9.46.D	1650	1351
NMAAHC-HCA_1.46.A	1622	1345
NMAAHC-HCA_12.31.D.2	1290	810
NMAAHC-HCA_2.21.C-000001	1690	1356
NMAAHC-HCA_4.17.B-000001	1782	1398
NMAAHC-HCA_18.6.D	1716	1380
NMAAHC-HCA_19.33.B	1710	1369
NMAAHC-HCA_6.30.A	1746	1422
NMAAHC-HCA_7.26.D	1776	1404
NMAAHC-HCA_15.25.C	1376	1712
NMAAHC-HCA_20.15.C.1	1272	777
NMAAHC-HCA_1.20.A	1656	1373
NMAAHC-HCA_13.46.D	1764	1411
NMAAHC-2007_1_69_18_28_A	2000	1291
NMAAHC-HCA_20.15.A	1434	1800
NMAAHC-HCA_7.46.A.2	1284	820
NMAAHC-2007_1_69_21_76_D_001	2000	1579
NMAAHC-HCA_9.9.B	1734	1362
NMAAHC-HCA_4.51.C-000001	1374	1740
NMAAHC-HCA_6.40.A	1746	1422
NMAAHC-HCA_10.4.A	1848	1392
NMAAHC-HCA_11.24.D	1728	1381
NMAAHC-HCA_11.30.B	1375	1728
NMAAHC-HCA_15.30.A	1752	1416
NMAAHC-HCA_21.60.A	1660	1348
NMAAHC-HCA_4.4.C-000001	1740	1374
NMAAHC-HCA_5.47.D-000001	1812	1465
NMAAHC-HCA_6.28.C	1752	1392
NMAAHC-HCA_7.19.C	1398	1722
NMAAHC-HCA_7.43.B.1	1262	766
NMAAHC-HCA_19.37.A	1752	1416
NMAAHC-HCA_21.28.A	1647	1348
NMAAHC-HCA_7.10.B	1752	1428
NMAAHC-HCA_8.21.D	1746	1387
NMAAHC-HCA_15.53.D	1368	1680
NMAAHC-HCA_8.45.B	1746	1417
NMAAHC-HCA_11.12.C	1704	1392
NMAAHC-HCA_2.18.A-000001	1622	1323
